qubit_index,candidate,params,loss_penalty,compression_value,raw_loss_penalty,pruning_attractiveness
0,stages.2.blocks.2,1201920,0.004447270720503397,0.07511759623692042,0.004447270720503397,56.72720285101489
1,stages.3.blocks.2,4763136,0.027673571472904075,0.29768647403283094,0.027673571472904075,36.1342541827284
2,stages.2.blocks.0,1201920,0.008847096531886922,0.07511759623692042,0.008847096531886922,28.51889721013401
3,stages.2.blocks.5,1201920,0.010015237933041134,0.07511759623692042,0.010015237933041134,25.192887507776227
4,stages.2.blocks.3,1201920,0.011709707623168036,0.07511759623692042,0.011709707623168036,21.547626635218027
5,stages.2.blocks.7,1201920,0.01618087670941035,0.07511759623692042,0.01618087670941035,15.593862197175351
6,stages.3.blocks.0,4763136,0.10643334395192461,0.29768647403283094,0.10643334395192461,9.39546355875215
7,stages.1.blocks.1,306048,0.00829003551552432,0.019127387923586446,0.00829003551552432,7.749751705122979
8,stages.0.blocks.2,79296,0.009787346139870116,0.004955841413074782,0.009787346139870116,1.7007832878593876
9,stages.0.blocks.0,79296,1.0,0.004955841413074782,1.0,0.016647838882635158
